date,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start,storage_end,plan_cost_yuan,emergency_cost_yuan,daily_cost_yuan,storage_min,storage_max,pool_size,k_eff,mode,objective_yuan,theta_mean,theta_total_yuan,tangent_count,value_at_s_min,value_at_s_max,dec_storage_end_mean,dec_storage_end_min,dec_storage_end_max,dec_plan_kwh,solver_path
2025-07-13,81424.97887,1743.255664,1412.037087,0,11826.03989,1200,1200,62545.91218,0,62545.91218,1200,2406.533874,42,10.40251571,kernel,124260.1642,61330.43047,61459.2254,33,62778.70115,60899.00953,4497.903683,1200,6590.782157,71.8123088,highs+presolve
2025-07-14,81376.05982,1752.365138,1419.415762,0,9235.43123,1200,1200,62469.30802,0,62469.30802,1200,2439.663148,43,11.18545604,kernel,124110.7706,61276.83959,61363.79358,36,62732.26614,60818.05828,4758.763325,1200,6835.906337,76.18412153,highs+presolve
2025-07-15,81274.98376,1259.271207,1020.009678,0,8286.671646,1200,1200,62438.97282,0,62438.97282,1200,1561.24071,44,9.435223752,kernel,124099.465,61455.25618,61361.08429,40,62718.60941,60968.06226,5338.672579,1200,7440.002487,85.19210801,highs+presolve
2025-07-16,80999.23097,2231.080705,1807.175371,0,8440.762252,1200,1200,62175.31725,0,62175.31725,1200,2033.786856,45,9.987405227,kernel,123618.3463,61239.97455,61085.80705,41,62493.4133,60704.3806,5342.89848,1200,7808.69194,114.68287,highs+presolve
2025-07-17,81059.07042,2720.660698,2203.735165,0,7821.728818,1200,1200,62097.38259,0,62097.38259,1200,2343.666958,46,12.10094137,kernel,123376.7091,61051.73453,60921.87582,41,62406.31316,60509.77799,5420.079135,1200,7776.494609,109.1700881,highs+presolve
2025-07-18,54493.90262,370.6469482,300.224028,0,23149.2316,1200,1200,39627.36351,0,39627.36351,1200,1274.598933,47,5.586926197,kernel,90364.62677,45970.65919,43329.18931,56,47005.72477,42916.71034,9819.222146,1200,10798.98035,1916.870088,highs+presolve
2025-07-19,52063.7953,1135.606034,919.8408879,0,24665.2111,1200,1200,38265.78238,0,38265.78238,1200,1503.509166,48,7.388049847,kernel,87582.66098,44442.82413,42100.45407,61,45423.5779,41760.02058,9885.956815,1200,10799.59126,1789.891323,highs+presolve
2025-07-20,81333.22363,1430.961707,1159.078983,0,8971.362686,1200,1200,62112.39007,0,62112.39007,1200,1971.770705,49,18.93455089,kernel,123028.8209,60592.03408,60687.83245,38,62319.28036,60122.71596,5268.442076,1200,7323.705712,65.5804073,highs+presolve
2025-07-21,81350.43565,2264.149745,1833.961293,0,6930.497852,1200,1200,62102.58875,0,62102.58875,1200,2350.55362,50,19.03624496,kernel,122952.6199,60587.24374,60619.12969,41,62281.4205,60122.73268,5510.940694,1200,7486.689095,65.14342082,highs+presolve
2025-07-22,81116.72819,2026.013504,1641.070938,0,6936.641004,1200,1200,62047.67584,0,62047.67584,1200,1771.75034,51,18.44679759,kernel,123053.7857,60734.81218,60696.46582,42,62277.01326,60263.32912,5480.121391,1200,7618.661442,92.42876082,highs+presolve
